group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,3.0,9,455.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,10,1161.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,11,1005.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,12,636.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,13,1443.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,14,712.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,15,902.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,16,632.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,17,857.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,18,847.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,19,1443.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,20,706.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,21,893.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,22,1066.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,23,1148.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,24,2878.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,25,933.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,26,1313.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,27,1051.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,28,807.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,29,1129.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,30,1465.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,31,618.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,32,752.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,33,968.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,34,770.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,35,454.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,36,1043.0,1.0,2.0,CBA
