rt,trial_index,subjectHandedness,subjectAge,subjectGender,key_press,correct_choice,coherent_movement_direction,coherence_movement,coherence_orientation,task,block,subject_id,accuracy,moving_up,moving_down,pointing_up,pointing_down
1265.0,436,r,34,f,74.0,j,270.0,90.0,25.0,movement,4.0,1,1,10.0,90.0,75.0,25.0
1323.0,439,r,34,f,70.0,f,90.0,75.0,0.0,movement,4.0,1,1,75.0,25.0,0.0,100.0
1158.0,442,r,34,f,74.0,f,90.0,60.0,0.0,movement,4.0,1,0,60.0,40.0,0.0,100.0
1117.0,445,r,34,f,70.0,f,90.0,90.0,0.0,movement,4.0,1,1,90.0,10.0,0.0,100.0
1006.0,448,r,34,f,74.0,j,270.0,75.0,75.0,movement,4.0,1,1,25.0,75.0,25.0,75.0
1491.0,451,r,34,f,70.0,f,90.0,90.0,75.0,movement,4.0,1,1,90.0,10.0,75.0,25.0
1212.0000000001,454,r,34,f,74.0,j,270.0,75.0,0.0,movement,4.0,1,1,25.0,75.0,100.0,0.0
996.0,457,r,34,f,70.0,f,90.0,90.0,100.0,movement,4.0,1,1,90.0,10.0,100.0,0.0
1108.0,460,r,34,f,70.0,f,90.0,75.0,75.0,movement,4.0,1,1,75.0,25.0,75.0,25.0
1248.0,463,r,34,f,70.0,j,270.0,60.0,0.0,movement,4.0,1,0,40.0,60.0,100.0,0.0
914.0,466,r,34,f,74.0,j,270.0,75.0,25.0,movement,4.0,1,1,25.0,75.0,75.0,25.0
1581.0,469,r,34,f,74.0,j,270.0,90.0,75.0,movement,4.0,1,1,10.0,90.0,25.0,75.0
1324.0,472,r,34,f,74.0,j,270.0,90.0,100.0,movement,4.0,1,1,10.0,90.0,0.0,100.0
1119.0,475,r,34,f,74.0,j,270.0,60.0,25.0,movement,4.0,1,1,40.0,60.0,75.0,25.0
1213.0,478,r,34,f,74.0,j,270.0,75.0,100.0,movement,4.0,1,1,25.0,75.0,0.0,100.0
1208.0000000001,481,r,34,f,74.0,j,270.0,90.0,0.0,movement,4.0,1,1,10.0,90.0,100.0,0.0
1409.0,484,r,34,f,74.0,j,270.0,60.0,100.0,movement,4.0,1,1,40.0,60.0,0.0,100.0
1396.0,488,r,34,f,74.0,j,270.0,75.0,25.0,movement,5.0,1,1,25.0,75.0,75.0,25.0
1409.9999999999,491,r,34,f,74.0,j,270.0,90.0,75.0,movement,5.0,1,1,10.0,90.0,25.0,75.0
1376.0000000001,494,r,34,f,74.0,j,270.0,75.0,75.0,movement,5.0,1,1,25.0,75.0,25.0,75.0
1225.0,497,r,34,f,70.0,f,90.0,75.0,0.0,movement,5.0,1,1,75.0,25.0,0.0,100.0
1139.9999999999,500,r,34,f,74.0,j,270.0,75.0,0.0,movement,5.0,1,1,25.0,75.0,100.0,0.0
1223.0,503,r,34,f,74.0,j,270.0,60.0,25.0,movement,5.0,1,1,40.0,60.0,75.0,25.0
1246.0,506,r,34,f,74.0,j,270.0,75.0,100.0,movement,5.0,1,1,25.0,75.0,0.0,100.0
944.99999999994,509,r,34,f,70.0,f,90.0,75.0,75.0,movement,5.0,1,1,75.0,25.0,75.0,25.0
1383.0,512,r,34,f,70.0,j,270.0,60.0,100.0,movement,5.0,1,0,40.0,60.0,0.0,100.0
1253.0,515,r,34,f,70.0,f,90.0,60.0,100.0,movement,5.0,1,1,60.0,40.0,100.0,0.0
1587.0,518,r,34,f,70.0,f,90.0,90.0,25.0,movement,5.0,1,1,90.0,10.0,25.0,75.0
1469.9999999999,521,r,34,f,74.0,j,270.0,90.0,25.0,movement,5.0,1,1,10.0,90.0,75.0,25.0
1432.0,524,r,34,f,70.0,f,90.0,60.0,25.0,movement,5.0,1,1,60.0,40.0,25.0,75.0
1666.9999999999,527,r,34,f,70.0,f,90.0,90.0,75.0,movement,5.0,1,1,90.0,10.0,75.0,25.0
1647.9999999999,530,r,34,f,70.0,f,90.0,90.0,100.0,movement,5.0,1,1,90.0,10.0,100.0,0.0
1505.0000000001,533,r,34,f,70.0,f,90.0,75.0,100.0,movement,5.0,1,1,75.0,25.0,100.0,0.0
1578.0,536,r,34,f,70.0,f,90.0,90.0,0.0,movement,5.0,1,1,90.0,10.0,0.0,100.0
1426.0,539,r,34,f,74.0,j,270.0,60.0,0.0,movement,5.0,1,1,40.0,60.0,100.0,0.0
1625.0,542,r,34,f,74.0,j,270.0,90.0,100.0,movement,5.0,1,1,10.0,90.0,0.0,100.0
1633.0,545,r,34,f,70.0,f,90.0,60.0,75.0,movement,5.0,1,1,60.0,40.0,75.0,25.0
1305.0,548,r,34,f,74.0,j,270.0,90.0,0.0,movement,5.0,1,1,10.0,90.0,100.0,0.0
1285.0,551,r,34,f,70.0,f,90.0,60.0,0.0,movement,5.0,1,1,60.0,40.0,0.0,100.0
1538.9999999999,554,r,34,f,70.0,f,90.0,75.0,25.0,movement,5.0,1,1,75.0,25.0,25.0,75.0
1507.0,557,r,34,f,70.0,j,270.0,60.0,75.0,movement,5.0,1,0,40.0,60.0,25.0,75.0
-1.0,2,r,23,m,-1.0,f,90.0,100.0,100.0,movement,0.0,2,0,100.0,0.0,100.0,0.0
801.0,5,r,23,m,70.0,f,90.0,80.0,100.0,movement,0.0,2,1,80.0,20.0,100.0,0.0
1422.0,8,r,23,m,70.0,f,90.0,100.0,50.0,movement,0.0,2,1,100.0,0.0,50.0,50.0
1663.0,11,r,23,m,70.0,f,90.0,80.0,50.0,movement,0.0,2,1,80.0,20.0,50.0,50.0
856.0,14,r,23,m,74.0,j,270.0,100.0,100.0,movement,0.0,2,1,0.0,100.0,0.0,100.0
915.0,17,r,23,m,74.0,j,270.0,100.0,50.0,movement,0.0,2,1,0.0,100.0,50.0,50.0
630.0,20,r,23,m,74.0,j,270.0,80.0,100.0,movement,0.0,2,1,20.0,80.0,0.0,100.0
642.0,23,r,23,m,74.0,j,270.0,80.0,50.0,movement,0.0,2,1,20.0,80.0,50.0,50.0
744.0,27,r,23,m,70.0,f,90.0,100.0,100.0,movement,0.0,2,1,100.0,0.0,100.0,0.0
592.0,30,r,23,m,70.0,f,90.0,100.0,50.0,movement,0.0,2,1,100.0,0.0,50.0,50.0
794.0,33,r,23,m,70.0,f,90.0,80.0,100.0,movement,0.0,2,1,80.0,20.0,100.0,0.0
682.0,36,r,23,m,70.0,f,90.0,80.0,50.0,movement,0.0,2,1,80.0,20.0,50.0,50.0
583.0,39,r,23,m,74.0,j,270.0,100.0,100.0,movement,0.0,2,1,0.0,100.0,0.0,100.0
561.0,42,r,23,m,74.0,j,270.0,80.0,100.0,movement,0.0,2,1,20.0,80.0,0.0,100.0
561.0,45,r,23,m,74.0,j,270.0,100.0,50.0,movement,0.0,2,1,0.0,100.0,50.0,50.0
626.0,48,r,23,m,74.0,j,270.0,80.0,50.0,movement,0.0,2,1,20.0,80.0,50.0,50.0
916.0,52,r,23,m,70.0,j,270.0,65.0,50.0,movement,1.0,2,0,35.0,65.0,50.0,50.0
1830.0,55,r,23,m,74.0,f,90.0,65.0,50.0,movement,1.0,2,0,65.0,35.0,50.0,50.0
1350.0,58,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
1034.0,61,r,23,m,70.0,f,90.0,65.0,50.0,movement,1.0,2,1,65.0,35.0,50.0,50.0
